Site Code,Loc Code,Event,Field ID,Sample ID,Unique ID,Particle,Color,Morphology,1st Order Morph,Color-Group,Confidence (?),Comment,QA_Color-Morph,Projected SA [mm2],Feret,MinFeret,Length,combo
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-3_B_1,1,purple,fragment,Non-Fiber,Blues,0,lot of strands make up this particle,done,0.000317,2.798,1.191,4.124,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-3_B_4,4,blue,fragment,Non-Fiber,Blues,0,0,0,1.007,1.616,1.249,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-3_B_6,6,clear,fragment,Non-Fiber,Transparent,0,0,done,0.614,1.096,0.84,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-4_A_1,1,black,tw,Non-Fiber,Blacks,0,"bounces back slightly, retains original shape",done,0.137,0.536,0.447,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-4_A_10,10,black,tw,Non-Fiber,Blacks,0,makes dents when touched hard enough,done,0.302,1.8,0.658,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-4_A_14,14,green,fragment,Non-Fiber,Greens,0,"breaks easily, transparent",0,0.487,1.052,0.831,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-4_A_15,15,gray,fragment,Non-Fiber,Blacks,0,looks uniform throughout,done,0.000123,1.587,1.009,3.872,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-4_A_17,17,white,fragment,Non-Fiber,Whites,0,"breaks easily, large thin sheet",done,2.807,3.144,1.307,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-4_A_22,22,gray,fragment,Non-Fiber,Blacks,0,"can make dents, pretty thin like a sheet of plastic",done,0.655,1.248,0.899,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-4_A_5,5,black,tw,Non-Fiber,Blacks,0,"bounces back, retains original shape",done,0.175,0.832,0.371,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-4_A_6,6,black,tw,Non-Fiber,Blacks,0,"bounces back, retains original shape",done,0.203,0.897,0.4,0,sub
SDC,1,SF-4,SDC-SF-4-N-1,SDC-SF-4,SDC-SF-4-N-1_S1-4_A_7,7,black,fragment,Non-Fiber,Blacks,0,makes dents when touched hard enough,done,0.43,1.536,0.522,0,sub
