X,Morphology..Raw.Data.,Site.Code,Flow.Type,Loc.Code,X.Sec.Loc,Test.Group,Depth..m.,Event,Field.ID,Sample.ID,Unique.ID,Particle,Color,X1st.Order.Morph,Color.Group,a,b,c,CSF,Deqi,particle.density_mean,W_adj_mean,Rouse_adj_mean,particle.density_10,W_adj_10,Rouse_adj_10,particle.density_90,W_adj_90,Rouse_adj_90
63,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.26,BF-3,SDC-BF-3-N-2,SDC-BF-3,SDC-BF-3-N-2_S0-0_B_45,45,black,Non-Fiber,Black,0.000961,6.00E-04,0.000485305,0.639112699,0.000654078,1450,0.051659112,1.808217932,1290,0.039746015,1.391225156,1610,0.061960474,2.168795305
64,TRWP,SDC,Low Flow,2,C,Inside Thalweg,0.26,BF-3,SDC-BF-3-N-2,SDC-BF-3,SDC-BF-3-N-2_S0-0_C_10,10,black,Non-Fiber,Black,0.000832,0.00038,0.00019416,0.345307731,0.000394477,1450,0.02382529,0.833953867,1290,0.018330945,0.641635932,1610,0.028576299,1.0002529
65,TRWP,SDC,Low Flow,3,LB,Outside Thalweg_2,0.205,BF-3,SDC-BF-3-N-3,SDC-BF-3,SDC-BF-3-N-3_S0-0_B_15,15,black,Non-Fiber,Black,0.00121,0.000498,0.00025505,0.328562483,0.000535649,1450,0.029537343,1.164353894,1290,0.022725742,0.895842475,1610,0.035427395,1.396538113
66,TRWP,SDC,Low Flow,3,LB,Outside Thalweg_2,0.205,BF-3,SDC-BF-3-N-3,SDC-BF-3,SDC-BF-3-N-3_S0-0_B_46,46,black,Non-Fiber,Black,0.000718,0.00041,0.00036259,0.668284936,0.00047436,1450,0.041035532,1.617609327,1290,0.031572336,1.244572763,1610,0.049218442,1.94017737
67,TRWP,SDC,Low Flow,3,LB,Outside Thalweg_2,0.205,BF-3,SDC-BF-3-N-3,SDC-BF-3,SDC-BF-3-N-3_S0-0_C_16,16,black,Non-Fiber,Black,0.001229,0.000601,0.000306645,0.356798246,0.000609566,1450,0.034416512,1.356689396,1290,0.026479727,1.043823525,1610,0.041279521,1.627227304
68,TRWP,SDC,Low Flow,3,LB,Outside Thalweg_2,0.205,BF-3,SDC-BF-3-N-3,SDC-BF-3,SDC-BF-3-N-3_S0-0_C_36,36,black,Non-Fiber,Black,0.000886,0.00066,0.00044743,0.585108317,0.000639589,1450,0.048123713,1.897023472,1290,0.037025913,1.459551267,1610,0.057720079,2.275309587
69,TRWP,SDC,Low Flow,3,LB,Outside Thalweg_2,0.205,BF-3,SDC-BF-3-N-3,SDC-BF-3,SDC-BF-3-N-3_S0-0_C_38,38,black,Non-Fiber,Black,0.000596,0.000433,0.00030098,0.592475723,0.000426669,1450,0.035072881,1.382563288,1290,0.026984731,1.063730644,1610,0.042066777,1.658260718
70,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.15,BF-4,SDC-BF-4-N-1,SDC-BF-4,SDC-BF-4-N-1_S0-0_B_4,4,black,Non-Fiber,Black,0.000354,0.000246,0.00017877,0.605794681,0.000249696,1450,0.023153716,1.067002859,1290,0.017814242,0.820941543,1610,0.027770807,1.279774273
71,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.15,BF-4,SDC-BF-4-N-1,SDC-BF-4,SDC-BF-4-N-1_S0-0_B_5,5,black,Non-Fiber,Black,0.000363,0.000314,0.000183315,0.542975041,0.00027543,1450,0.023451665,1.080733385,1290,0.018043482,0.831505675,1610,0.02812817,1.296242809
72,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.15,BF-4,SDC-BF-4-N-1,SDC-BF-4,SDC-BF-4-N-1_S0-0_B_6,6,black,Non-Fiber,Black,0.00084,0.000395,0.0002017,0.350160946,0.000406001,1450,0.024585509,1.132984773,1290,0.018915849,0.87170738,1610,0.029488113,1.358913664
73,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.15,BF-4,SDC-BF-4-N-1,SDC-BF-4,SDC-BF-4-N-1_S0-0_B_7,7,black,Non-Fiber,Black,0.00052,0.000266,0.0002626,0.706077271,0.000331177,1450,0.031816755,1.466225495,1290,0.0244795,1.128099526,1610,0.038161346,1.758606035
74,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.15,BF-4,SDC-BF-4-N-1,SDC-BF-4,SDC-BF-4-N-1_S0-0_B_9,9,black,Non-Fiber,Black,0.000778,0.00045,0.00039289,0.664010458,0.000516204,1450,0.043737948,2.015595045,1290,0.033651549,1.550779074,1610,0.052459748,2.41752556
75,TRWP,SDC,Low Flow,1,RB,Outside Thalweg_1,0.15,BF-4,SDC-BF-4-N-1,SDC-BF-4,SDC-BF-4-N-1_S0-0_B_11,11,black,Non-Fiber,Black,0.001607,0.000573,0.000294535,0.306938708,0.000647295,1450,0.032992073,1.520388162,1290,0.025383777,1.169771751,1610,0.039571034,1.823569298
