X,Material,Morphology,Material..Raw.Data.,Morphology..Raw.Data.,Site.Code,Flow.Type,Loc.Code,X.Sec.Loc,Test.Group,Depth..m.,Event,Field.ID,Sample.ID,Unique.ID,Particle,Color,X1st.Order.Morph,Color.Group,a,b,c,CSF,Deqi,particle.density_mean,W_adj_mean,Rouse_adj_mean,particle.density_10,W_adj_10,Rouse_adj_10,particle.density_90,W_adj_90,Rouse_adj_90
46,Polyacrylonitriles (Nitriles),fiber,POLYACRYLONITRILES (NITRILES),fiber,SDC,Stormflow,1,RB,Outside Thalweg_1,0.39,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_B_25,25,blue,Fiber,Blue,0.003171,0.00198,0.000794336,0.317010215,0.000794336,1120,0.02864014,0.818527636,1100,0.025742746,0.735720877,1130,0.030012514,0.857749704
47,PP,fiber,POLY(PROPYLENE),fiber,SDC,Stormflow,1,RB,Outside Thalweg_1,0.39,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_B_26,26,black,Fiber,Black,0.00467,0.001439,0.001169835,0.451269284,0.001169835,1000,0.003131262,0.08949064,999,0.00202962,0.058006009,1000,0.003131262,0.08949064
48,PP,fiber,POLY(PROPYLENE),fiber,SDC,Stormflow,1,RB,Outside Thalweg_1,0.39,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_B_38,38,blue,Fiber,Blue,0.001036,0.00048,0.000259518,0.368016245,0.000259518,1000,0.000785905,0.022460965,999,0.00049882,0.014256154,1000,0.000785905,0.022460965
49,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Stormflow,1,RB,Outside Thalweg_1,0.39,SF-2,SDC-SF-2-N-1,SDC-SF-2,SDC-SF-2-N-1_S0-0_D_4,4,blue,Fiber,Blue,0.001628,0.000385,0.000193314,0.244177556,0.000193314,1450,0.019906059,0.568909889,1440,0.0196271,0.560937325,1460,0.020182661,0.576815112
50,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Stormflow,2,SC,NA,2.13,SF-2,SDC-SF-2-N-2,SDC-SF-2,SDC-SF-2-N-2_S0-0_A_3,3,black,Fiber,Black,0.002679,0.001334,0.00067109,0.354990043,0.00067109,1450,0.053697578,0.656682445,1440,0.053001908,0.648174904,1460,0.054386538,0.665107917
51,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Stormflow,2,SC,NA,2.13,SF-2,SDC-SF-2-N-2,SDC-SF-2,SDC-SF-2-N-2_S0-0_B_19,19,green,Fiber,Green,0.001629,0.000608,0.000408065,0.410030802,0.000408065,1450,0.035984593,0.440065472,1440,0.035506057,0.434213324,1460,0.036458682,0.445863245
52,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Stormflow,2,SC,NA,2.13,SF-2,SDC-SF-2-N-2,SDC-SF-2,SDC-SF-2-N-2_S0-0_E_28,28,red,Fiber,Red,0.001475,0.000712,0.000369488,0.360548542,0.000369488,1450,0.033646619,0.411473756,1440,0.033194823,0.405948613,1460,0.034094282,0.416948349
53,PE,fiber,POLY(ETHYLENE),fiber,SDC,Stormflow,2,SC,NA,2.13,SF-2,SDC-SF-2-N-2,SDC-SF-2,SDC-SF-2-N-2_S0-0_G_35,35,black,Fiber,Black,0.002224,0.000926,0.000557112,0.388212601,0.000557112,1010,0.005059793,0.061877604,751,-0.022968663,-0.28089009,1270,0.034178255,0.417975279
54,PE,fiber,POLY(ETHYLENE),fiber,SDC,Stormflow,2,SC,NA,2.13,SF-2,SDC-SF-2-N-2,SDC-SF-2,SDC-SF-2-N-2_S0-0_H_18,18,gray,Fiber,Black,0.003777,0.003011,0.000946139,0.280560059,0.000946139,1010,0.008190767,0.100167142,751,-0.037179753,-0.454681413,1270,0.053189175,0.650465035
55,PET,fiber,POLY(ETHYLENE TEREPHTHALATE),fiber,SDC,Stormflow,2,SC,NA,2.13,SF-2,SDC-SF-2-N-2,SDC-SF-2,SDC-SF-2-N-2_S0-0_J_24,24,purple,Fiber,Blue,0.001425,0.000923,0.000356963,0.311253549,0.000356963,1450,0.033151004,0.405412736,1440,0.032703094,0.399935122,1460,0.033594858,0.41084075
