Site Code,Loc Code,Event,Field ID,Sample ID,Unique ID,Particle,Color,Morphology,1st Order Morph,Color-Group,Confidence (?),Comment,QA_Color-Morph,Projected SA [mm2],Feret,MinFeret,Length,filter
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_F_14,14,black,TW,Non-Fiber,Blacks,0,0,0,0.146,0.534,0.384,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_F_15,15,black,TW,Non-Fiber,Blacks,0,0,0,0.113,0.645,0.399,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_F_16,16,black,fragment,Non-Fiber,Blacks,0,0,0,0.546,1.492,0.649,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_F_17,17,gray,fragment,Non-Fiber,Blacks,0,0,0,0.127,0.659,0.32,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_F_2,2,black,TW,Non-Fiber,Blacks,0,0,0,0.197,0.731,0.426,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_F_20,20,gray,fragment,Non-Fiber,Blacks,0,0,0,0.132,0.662,0.338,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_F_21,21,gray,fragment,Non-Fiber,Blacks,0,0,0,0.19,0.841,0.447,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_F_22,22,black,TW,Non-Fiber,Blacks,0,0,0,0.189,0.793,0.458,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_F_23,23,black,TW,Non-Fiber,Blacks,0,0,0,0.061,0.537,0.297,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_F_24,24,gray,fragment,Non-Fiber,Blacks,0,0,0,0.144,0.771,0.441,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_F_25,25,black,TW,Non-Fiber,Blacks,0,0,0,0.1,0.45,0.328,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_F_26,26,black,TW,Non-Fiber,Blacks,0,0,0,0.105,0.573,0.288,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_F_28,28,black,fragment,Non-Fiber,Blacks,0,0,0,0.924,1.767,0.84,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_F_29,29,white,foam,Non-Fiber,Whites,0,0,0,1.446,2.238,0.983,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_F_3,3,black,TW,Non-Fiber,Blacks,0,0,0,0.153,0.923,0.333,0,rep
SDC,3,SF-4,SDC-SF-4-N-3,SDC-SF-4,SDC-SF-4-N-3_S1-4_F_30,30,black,fragment,Non-Fiber,Blacks,0,0,0,0.388,0.854,0.646,0,rep
